Instance,Mean Reward
1110,-8.0
1111,-9.0
1112,-11.0
1113,-5.0
1114,-4.0
1115,-3.0
1116,-15.766667
1117,-8.0
1118,-3.0
1119,-12.0
1120,-8.0
1121,-16.3
1122,-5.0
1123,-1.0
1124,-5.0
1125,-4.0
1126,-2.0
1127,-6.0
1128,-10.0
1129,-12.0
1130,-10.0
1131,-6.0
1132,-10.0
1133,-5.0
1134,-10.0
1135,-11.033333
1136,-5.0
1137,-3.0
1138,-5.0
1139,-14.033333
1140,-10.0
1141,-4.0
1142,-4.0
1143,-9.0
1144,-7.0
1145,-4.0
1146,-7.0
1147,-5.0
1148,-2.0
1149,-13.0
2200,-18.233333
2201,-16.0
2202,-12.0
2203,-11.0
2204,-7.0
2205,-15.0
2206,-3.0
2207,-18.5
2208,-10.0
2209,-13.0
2210,-5.0
2211,-24.9
2212,-15.0
2213,-21.5
2214,-20.6
2215,-20.533333
2216,-9.0
2217,-36.266667
2218,-19.5
2219,-9.0
2220,-13.0
2221,-14.0
2222,-18.5
2223,-20.166667
2224,-15.0
2225,-20.966667
2226,-22.366667
2227,-26.766667
2228,-9.0
2229,-21.166667
2230,-17.066667
2231,-16.133333
2232,-33.933333
2233,-11.0
2234,-17.3
2235,-15.0
2236,-2.0
2237,-25.833333
2238,-12.0
2239,-14.0
2240,-15.0
2241,-12.0
2242,-27.8
2243,-20.566667
2244,-5.0
2245,-24.466667
2246,-10.0
2247,-9.0
2248,-41.9
2249,-21.566667
2250,-12.0
2251,-34.233333
2252,-9.0
2253,-17.033333
2254,-7.0
2255,-22.366667
2256,-5.0
2257,-15.0
2258,-8.0
2259,-7.0
2260,-13.0
2261,-60.0
2262,-11.0
2263,-10.0
2264,-60.0
2265,-13.0
2266,-23.966667
2267,-13.0
2268,-32.133333
2269,-14.0
2270,-13.0
2271,-12.0
2272,-47.633333
2273,-11.0
2274,-13.0
2275,-15.0
2276,-22.0
2277,-26.2
2278,-16.0
2279,-12.0
2280,-10.0
2281,-12.0
2282,-24.733333
2283,-21.166667
2284,-15.0
2285,-17.0
2286,-8.0
2287,-23.966667
2288,-16.0
2289,-22.033333
2290,-5.0
2291,-11.0
2292,-11.0
2293,-29.566667
2294,-10.0
2295,-6.0
2296,-3.0
2297,-18.533333
2298,-13.0
2299,-18.766667
2300,-60.0
2301,-24.933333
2302,-28.3
2303,-16.0
2304,-18.966667
2305,-11.0
2306,-31.733333
2307,-6.0
2308,-16.0
2309,-11.0
2310,-21.666667
2311,-16.0
2312,-4.0
2313,-5.0
2314,-12.0
2315,-21.0
2316,-8.0
2317,-43.533333
2318,-19.0
2319,-15.0
2320,-17.233333
2321,-10.0
2322,-11.0
2323,-20.633333
2324,-44.433333
2325,-23.533333
2326,-16.0
2327,-19.1
2328,-12.0
2329,-25.5
2330,-19.333333
2331,-14.0
2332,-2.0
2333,-17.2
2334,-15.1
2335,-7.0
2336,-18.0
2337,-11.0
2338,-14.0
2339,-6.0
2340,-10.0
2341,-20.1
2342,-58.6
2343,-16.033333
2344,-7.0
2345,-16.0
2346,-7.0
2347,-6.0
2348,-19.233333
2349,-47.166667
2350,-11.0
2351,-19.733333
2352,-15.0
2353,-7.0
2354,-31.866667
2355,-14.0
2356,-17.0
2357,-55.166667
2358,-14.0
2359,-17.033333
2360,-27.933333
2361,-16.0
2362,-12.0
2363,-24.8
2364,-22.6
2365,-14.0
2366,-8.0
2367,-15.0
2368,-20.1
2369,-4.0
2370,-9.0
2371,-11.0
2372,-12.0
2373,-52.366667
2374,-17.266667
2375,-9.0
2376,-7.0
2377,-19.0
2378,-21.0
2379,-32.633333
2380,-8.0
2381,-15.133333
2382,-44.866667
2383,-14.0
2384,-16.0
2385,-7.0
2386,-17.0
2387,-7.0
2388,-24.733333
2389,-8.0
2390,-6.0
2391,-10.0
2392,-8.0
2393,-22.2
2394,-14.0
2395,-4.0
2396,-2.0
2397,-19.066667
2398,-12.0
2399,-7.0
Instance,Mean Reward
910,-59.7
911,-60.0
912,-59.933333
913,-59.933333
914,-59.966667
915,-59.966667
916,-59.966667
917,-60.0
918,-59.7
919,-59.866667
920,-60.0
921,-60.0
922,-60.0
923,-60.0
924,-59.533333
925,-59.866667
926,-60.0
927,-59.9
928,-59.8
929,-60.0
930,-59.9
931,-59.966667
932,-59.933333
933,-59.833333
934,-59.966667
935,-59.633333
936,-60.0
937,-59.766667
938,-59.866667
939,-59.933333
940,-59.933333
941,-59.833333
942,-59.9
943,-59.966667
944,-60.0
945,-59.9
946,-59.866667
947,-60.0
948,-59.733333
949,-59.966667
